task,family,seed,mode,acc,eps,support_size,support
adjective-comparative,linguistic,4,cass,0.02,0.8743,4,present-past|singular-plural|capitalize|next-item
adjective-adverb,linguistic,0,oracle,0.88,0,1,adjective-adverb
adjective-adverb,linguistic,0,naive,0.06,1,0,all
adjective-adverb,linguistic,0,cass,0.66,0.7799,4,present-past|singular-plural|english-french|alphabetically-first
adjective-adverb,linguistic,0,zvec,0.64,0.7799,4,present-past|singular-plural|english-french|alphabetically-first
adjective-adverb,linguistic,1,cass,0.62,0.7818,2,present-past|singular-plural
adjective-adverb,linguistic,1,zvec,0.64,0.7818,2,present-past|singular-plural
adjective-adverb,linguistic,2,cass,0.66,0.7568,4,present-past|singular-plural|capitalize|english-french
adjective-adverb,linguistic,2,zvec,0.68,0.7568,4,present-past|singular-plural|capitalize|english-french
adjective-adverb,linguistic,3,cass,0.62,0.7415,4,present-past|singular-plural|capitalize|english-french
adjective-adverb,linguistic,4,cass,0.56,0.7655,5,synonym|present-past|singular-plural|capitalize|english-french
past-present,linguistic,0,oracle,0.92,0,1,past-present
past-present,linguistic,0,naive,0.08,1,0,all
past-present,linguistic,0,cass,0.18,0.8097,3,present-past|singular-plural|capitalize
past-present,linguistic,0,zvec,0.74,0.8097,3,present-past|singular-plural|capitalize
past-present,linguistic,1,cass,0.2,0.7814,3,present-past|singular-plural|choose-middle-of-list
past-present,linguistic,1,zvec,0.7,0.7814,3,present-past|singular-plural|choose-middle-of-list
past-present,linguistic,2,cass,0.12,0.8105,4,present-past|singular-plural|capitalize|english-french
past-present,linguistic,2,zvec,0.66,0.8105,4,present-past|singular-plural|capitalize|english-french
past-present,linguistic,3,cass,0.16,0.7987,5,present-past|singular-plural|lowercase-first-letter|alphabetically-last|choose-middle-of-list
past-present,linguistic,4,cass,0.22,0.831,4,synonym|present-past|singular-plural|alphabetically-first
english-italian,translation,0,oracle,0.5,0,1,english-italian
english-italian,translation,0,naive,0.0,1,0,all
english-italian,translation,0,cass,0.34,0.6544,5,synonym|english-french|english-german|english-spanish|alphabetically-first
english-italian,translation,0,zvec,0.04,0.6544,5,synonym|english-french|english-german|english-spanish|alphabetically-first
english-italian,translation,1,cass,0.06,0.7439,4,english-french|english-german|english-spanish|alphabetically-first
english-italian,translation,1,zvec,0.0,0.7439,4,english-french|english-german|english-spanish|alphabetically-first
english-italian,translation,2,cass,0.42,0.7471,5,synonym|english-french|english-german|english-spanish|alphabetically-first
english-italian,translation,2,zvec,0.06,0.7471,5,synonym|english-french|english-german|english-spanish|alphabetically-first
english-italian,translation,3,cass,0.32,0.724,3,english-french|english-german|english-spanish
english-italian,translation,4,cass,0.22,0.5753,5,english-french|english-german|english-spanish|alphabetically-last|choose-middle-of-list
english-portuguese,translation,0,oracle,0.64,0,1,english-portuguese
english-portuguese,translation,0,naive,0.0,1,0,all
english-portuguese,translation,0,cass,0.54,0.7506,5,synonym|english-french|english-german|english-spanish|alphabetically-first
english-portuguese,translation,0,zvec,0.12,0.7506,5,synonym|english-french|english-german|english-spanish|alphabetically-first
english-portuguese,translation,1,cass,0.44,0.6777,5,english-french|english-german|english-spanish|alphabetically-first|alphabetically-last
english-portuguese,translation,1,zvec,0.1,0.6777,5,english-french|english-german|english-spanish|alphabetically-first|alphabetically-last
english-portuguese,translation,2,cass,0.42,0.7587,3,english-french|english-german|english-spanish
english-portuguese,translation,2,zvec,0.02,0.7587,3,english-french|english-german|english-spanish
english-portuguese,translation,3,cass,0.66,0.6867,5,english-french|english-german|english-spanish|alphabetically-last|choose-middle-of-list
english-portuguese,translation,4,cass,0.36,0.5589,5,english-french|english-german|english-spanish|choose-first-of-list|choose-middle-of-list
french-english,translation,0,oracle,0.68,0,1,french-english
french-english,translation,0,naive,0.46,1,0,all
french-english,translation,0,cass,0.7,0.918,3,english-french|english-german|english-spanish
french-english,translation,0,zvec,0.72,0.918,3,english-french|english-german|english-spanish
french-english,translation,1,cass,0.56,0.8528,5,english-french|english-german|english-spanish|choose-middle-of-list|animal-from-list
french-english,translation,1,zvec,0.68,0.8528,5,english-french|english-german|english-spanish|choose-middle-of-list|animal-from-list
french-english,translation,2,cass,0.48,0.8227,5,synonym|english-french|english-german|english-spanish|animal-from-list
french-english,translation,2,zvec,0.62,0.8227,5,synonym|english-french|english-german|english-spanish|animal-from-list
french-english,translation,3,cass,0.7,0.9025,4,synonym|english-french|english-german|english-spanish
french-english,translation,4,cass,0.54,0.7788,5,synonym|english-german|english-spanish|alphabetically-first|animal-from-list
word-last-letter,algorithmic,0,oracle,0.04,0,1,word-last-letter
word-last-letter,algorithmic,0,naive,0.02,1,0,all
word-last-letter,algorithmic,0,cass,0.0,0.6285,5,capitalize-last-letter|lowercase-first-letter|next-capital-letter|word-length|choose-middle-of-list
word-last-letter,algorithmic,0,zvec,0.0,0.6285,5,capitalize-last-letter|lowercase-first-letter|next-capital-letter|word-length|choose-middle-of-list
word-last-letter,algorithmic,1,cass,0.0,0.61,5,capitalize-first-letter|capitalize-last-letter|lowercase-first-letter|prev-item|next-capital-letter
word-last-letter,algorithmic,1,zvec,0.0,0.61,5,capitalize-first-letter|capitalize-last-letter|lowercase-first-letter|prev-item|next-capital-letter
word-last-letter,algorithmic,2,cass,0.0,0.754,4,capitalize-first-letter|capitalize-last-letter|lowercase-first-letter|next-capital-letter
word-last-letter,algorithmic,2,zvec,0.0,0.754,4,capitalize-first-letter|capitalize-last-letter|lowercase-first-letter|next-capital-letter
word-last-letter,algorithmic,3,cass,0.0,0.8296,4,capitalize-first-letter|capitalize-last-letter|lowercase-first-letter|next-capital-letter
word-last-letter,algorithmic,4,cass,0.0,0.6649,5,capitalize-first-letter|capitalize-last-letter|lowercase-first-letter|prev-item|next-capital-letter
number-plus-one,algorithmic,0,oracle,0.06,0,1,number-plus-one
number-plus-one,algorithmic,0,naive,0.0,1,0,all
number-plus-one,algorithmic,0,cass,1.0,0.8579,2,next-item|word-length
number-plus-one,algorithmic,0,zvec,0.78,0.8579,2,next-item|word-length
number-plus-one,algorithmic,1,cass,1.0,0.8104,5,present-past|capitalize|next-item|prev-item|word-length
number-plus-one,algorithmic,1,zvec,0.72,0.8104,5,present-past|capitalize|next-item|prev-item|word-length
number-plus-one,algorithmic,2,cass,1.0,0.8592,4,present-past|next-item|prev-item|word-length
number-plus-one,algorithmic,2,zvec,0.74,0.8592,4,present-past|next-item|prev-item|word-length
number-plus-one,algorithmic,3,cass,1.0,0.798,3,next-item|prev-item|word-length
number-plus-one,algorithmic,4,cass,1.0,0.7671,5,present-past|next-item|prev-item|word-length|alphabetically-last
